company_name,employee size ,industry,country,city,department,designation,email,Name,phone_number,phone-2,phone-3
Winet,25,IT,India,Noida,support,Delhi,abc@gmail.com,winet,18083731898,,
Winet,25,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12146811955,,
Support,43,IT,India,Noida,account,Delhi,abck@gmail.com,winet,19048680398,,
Winet,49,IT,India,Noida,support,Delhi,abc@gmail.com,winet,16628955045,,
Winet,58,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,15126360982,,
Support,67,IT,India,Noida,account,Delhi,abck@gmail.com,winet,15132583880,,
Winet,76,IT,India,Noida,support,Delhi,abc@gmail.com,winet,15037221667,,
Winet,85,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,15054803601,,
Support,94,IT,India,Noida,account,Delhi,abck@gmail.com,winet,18286929978,,
Winet,103,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12035227500,,
Winet,112,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,18003676401,,
Support,121,IT,India,Noida,account,Delhi,abck@gmail.com,winet,18434640143,,
Winet,130,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12015096142,,
Winet,139,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13138192612,,
Support,148,IT,India,Noida,account,Delhi,abck@gmail.com,winet,12523615818,,
Winet,157,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14322387207,,
Winet,166,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,18176578894,,
Support,175,IT,India,Noida,account,Delhi,abck@gmail.com,winet,14322084399,,
Winet,184,IT,India,Noida,support,Delhi,abc@gmail.com,winet,16414723906,,
Winet,193,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13306341324,,
Support,202,IT,India,Noida,account,Delhi,abck@gmail.com,winet,16203311157,,
Winet,211,IT,India,Noida,support,Delhi,abc@gmail.com,winet,16065985481,,
Winet,220,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,17196472110,,
Support,229,IT,India,Noida,account,Delhi,abck@gmail.com,winet,17044660632,,
Winet,238,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12286272835,,
Winet,247,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,15122030525,,
Support,256,IT,India,Noida,account,Delhi,abck@gmail.com,winet,16183376133,,
Winet,265,IT,India,Noida,support,Delhi,abc@gmail.com,winet,17342233019,,
Winet,274,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,18034948561,,
Support,283,IT,India,Noida,account,Delhi,abck@gmail.com,winet,17154847904,,
Winet,292,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14782848833,,
Winet,301,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12818276721,,
Support,310,IT,India,Noida,account,Delhi,abck@gmail.com,winet,14349605470,,
Winet,319,IT,India,Noida,support,Delhi,abc@gmail.com,winet,19196070312,,
Winet,328,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12709780992,,
Support,337,IT,India,Noida,account,Delhi,abck@gmail.com,winet,12294255921,,
Winet,346,IT,India,Noida,support,Delhi,abc@gmail.com,winet,16053625825,,
Winet,355,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,17852590212,,
Support,364,IT,India,Noida,account,Delhi,abck@gmail.com,winet,14102636624,,
Winet,373,IT,India,Noida,support,Delhi,abc@gmail.com,winet,16067876346,,
Winet,382,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13344774337,,
Support,391,IT,India,Noida,account,Delhi,abck@gmail.com,winet,18325605358,,
Winet,400,IT,India,Noida,support,Delhi,abc@gmail.com,winet,17042894475,,
Winet,409,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12148818013,,
Support,418,IT,India,Noida,account,Delhi,abck@gmail.com,winet,12023961084,,
Winet,427,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13016383648,,
Winet,436,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13368709061,,
Support,445,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13472914548,,
Winet,454,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12525273676,,
Winet,463,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,19199150186,,
Support,472,IT,India,Noida,account,Delhi,abck@gmail.com,winet,12146220998,,
Winet,481,IT,India,Noida,support,Delhi,abc@gmail.com,winet,19254978550,,
Winet,490,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12147345650,,
Support,499,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13162105795,,
Winet,508,IT,India,Noida,support,Delhi,abc@gmail.com,winet,19726799082,,
Winet,517,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13016226260,,
Support,526,IT,India,Noida,account,Delhi,abck@gmail.com,winet,12568282268,,
Winet,535,IT,India,Noida,support,Delhi,abc@gmail.com,winet,19044654513,,
Winet,544,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,14322085665,,
Support,553,IT,India,Noida,account,Delhi,abck@gmail.com,winet,17314418092,,
Winet,562,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13366823654,,
Winet,571,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,15052618829,,
Support,580,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13013843569,,
Winet,589,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12162333536,,
Winet,598,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13039222298,,
Support,607,IT,India,Noida,account,Delhi,abck@gmail.com,winet,16464104004,,
Winet,616,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14434180073,,
Winet,625,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,18055341627,,
Support,634,IT,India,Noida,account,Delhi,abck@gmail.com,winet,19803209144,,
Winet,643,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14234732180,,
Winet,652,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,15122899562,,
Support,661,IT,India,Noida,account,Delhi,abck@gmail.com,winet,15513334883,,
Winet,670,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14074618755,,
Winet,679,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13346829287,,
Support,688,IT,India,Noida,account,Delhi,abck@gmail.com,winet,16623196597,,
Winet,697,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13607573945,,
Winet,706,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,18052379837,,
Support,715,IT,India,Noida,account,Delhi,abck@gmail.com,winet,19135589596,,
Winet,724,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14062652965,,
Winet,733,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13612440881,,
Support,742,IT,India,Noida,account,Delhi,abck@gmail.com,winet,19055580633,,
Winet,751,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13035876832,,
Winet,760,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13179144180,,
Support,769,IT,India,Noida,account,Delhi,abck@gmail.com,winet,16017326418,,
Winet,778,IT,India,Noida,support,Delhi,abc@gmail.com,winet,18004529310,,
Winet,787,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,15408645030,,
Support,796,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13346369503,,
Winet,805,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12819957724,,
Winet,814,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,19857208450,,
Support,823,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13106571097,,
Winet,832,IT,India,Noida,support,Delhi,abc@gmail.com,winet,19852320023,,
Winet,841,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13025847252,,
Support,850,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13304675684,,
Winet,859,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14342964608,,
Winet,868,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,14025982572,,
Support,877,IT,India,Noida,account,Delhi,abck@gmail.com,winet,18185015508,,
Winet,886,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13522833425,,
Winet,895,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,17187619196,,
Support,904,IT,India,Noida,account,Delhi,abck@gmail.com,winet,14695165820,,
Winet,913,IT,India,Noida,support,Delhi,abc@gmail.com,winet,13233467205,,
Winet,922,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12288326777,,
Support,931,IT,India,Noida,account,Delhi,abck@gmail.com,winet,17184426122,,
Winet,940,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14697652149,,
Winet,949,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,16463521545,,
Support,958,IT,India,Noida,account,Delhi,abck@gmail.com,winet,16158292369,,
Winet,967,IT,India,Noida,support,Delhi,abc@gmail.com,winet,17072088113,,
Winet,976,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,12194849176,,
Support,985,IT,India,Noida,account,Delhi,abck@gmail.com,winet,19126674502,,
Winet,994,IT,India,Noida,support,Delhi,abc@gmail.com,winet,19312565472,,
Winet,1003,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13368181722,,
Support,1012,IT,India,Noida,account,Delhi,abck@gmail.com,winet,15127875784,,
Winet,1021,IT,India,Noida,support,Delhi,abc@gmail.com,winet,12815910729,,
Winet,1030,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13307808481,,
Support,1039,IT,India,Noida,account,Delhi,abck@gmail.com,winet,12173792089,,
Winet,1048,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14696326905,,
Winet,1057,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,13474047414,,
Support,1066,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13615716699,,
Winet,1075,IT,India,Noida,support,Delhi,abc@gmail.com,winet,18135269334,,
Winet,1084,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,14106382843,,
Support,1093,IT,India,Noida,account,Delhi,abck@gmail.com,winet,18503246297,,
Winet,1102,IT,India,Noida,support,Delhi,abc@gmail.com,winet,14124147428,,
Winet,1111,IT,India,Noida,account,Delhi,abcd@gmail.com,winet,17082336035,,
Support,1120,IT,India,Noida,account,Delhi,abck@gmail.com,winet,13522497781,,
Winet,1129,IT,India,Noida,support,Delhi,abc@gmail.com,winet,15857505065,,
